Time,Stress
1,0
2,0.692308
3,0.0769231
4,0.692308
5,0.102564
6,0.692308
7,0.102564
8,0.692308
9,0.153846
10,0.589744
11,0.102564
12,0.538462
13,0.102564
14,0.538462
15,0.102564
16,0.538462
17,0.102564
18,0.538462
19,0.102564
20,0.538462
21,0.102564
22,0.538462
23,0.102564
24,0.538462
25,0.102564
26,0.538462
27,0.102564
28,0.666667
29,0.153846
30,0.666667
31,0.153846
32,0.666667
33,0.153846
34,0.666667
35,0.0769231
36,0.666667
37,0.153846
38,0.666667
39,0.153846
40,0.666667
41,0.0769231
42,0.641026
43,0.0769231
44,0.666667
45,0.153846
46,0.666667
47,0.102564
48,0.666667
49,0.153846
50,0.666667
51,0.0769231
52,0.666667
53,0.153846
54,0.666667
55,0.153846
56,0.666667
57,0.102564
58,0.538462
59,0.102564
60,0.538462
61,0.102564
62,0.538462
63,0.102564
64,0.538462
65,0.102564
66,0.538462
67,0.102564
68,0.538462
69,0.025641
70,0.692308
71,0.102564
72,0.538462
73,0.102564
74,0.538462
75,0.102564
76,0.538462
77,0.102564
78,0.538462
79,0.102564
80,0.538462
81,0.102564
82,0.538462
83,0.102564
84,0.538462
85,0.102564
86,0.538462
87,0.102564
88,0.538462
89,0.102564
90,0.538462
91,0.102564
92,0.538462
93,0.102564
94,0.538462
95,0.102564
96,0.538462
97,0.102564
98,0.538462
99,0.102564
100,0.538462
101,0.102564
102,0.538462
103,0.102564
104,0.589744
105,0.102564
106,0.538462
107,0.102564
108,0.538462
109,0.102564
110,0.538462
111,0.102564
112,0.538462
113,0.102564
114,0.538462
115,0.102564
116,0.538462
117,0.102564
118,0.74359
119,0.230769
120,0.717949
121,0.230769
122,0.717949
123,0.230769
124,0.717949
125,0.230769
126,0.769231
127,0.230769
128,0.717949
129,0.230769
130,0.717949
131,0.230769
132,0.717949
133,0.102564
134,0.538462
135,0.102564
136,0.538462
137,0.102564
138,0.538462
139,0.102564
140,0.538462
141,0.102564
142,0.538462
143,0.102564
144,0.538462
145,0.102564
146,0.538462
147,0.102564
148,0.538462
149,0.025641
150,0.538462
151,0.102564
152,0.538462
153,0.102564
154,0.538462
155,0.102564
156,0.538462
157,0.102564
158,0.538462
159,0.102564
160,0.538462
161,0.102564
162,0.538462
163,0.102564
164,0.538462
165,0.102564
166,0.538462
167,0.102564
168,0.538462
169,0.102564
170,0.538462
171,0.102564
172,0.717949
173,0.230769
174,0.717949
175,0.230769
176,0.769231
177,0.230769
178,0.717949
179,0.230769
180,0.717949
181,0.230769
182,0.717949
183,0.230769
184,0.74359
185,0.0512821
186,0.666667
187,0.205128
188,0.666667
189,0.205128
190,0.666667
191,0.205128
192,0.666667
193,0.205128
194,0.666667
195,0.205128
196,0.666667
197,0.205128
198,0.666667
199,0.205128
200,0.666667
201,0.205128
202,0.666667
203,0.205128
204,0.666667
205,0.205128
206,0.666667
207,0.205128
208,0.666667
209,0.0512821
210,0.666667
211,0.205128
212,0.666667
213,0.205128
214,0.666667
215,0.205128
216,0.666667
217,0.205128
218,0.666667
219,0.205128
220,0.666667
221,0.205128
222,0.666667
223,0.205128
224,0.666667
225,0.205128
226,0.666667
227,0.205128
228,0.666667
229,0.205128
230,0.666667
231,0.0512821
232,0.666667
233,0.205128
234,0.666667
235,0.205128
236,0.666667
237,0.205128
238,0.666667
239,0.205128
240,0.666667
241,0.205128
242,0.666667
243,0.205128
244,0.666667
245,0.205128
246,0.666667
247,0.205128
248,0.666667
249,0.205128
250,0.666667
251,0.0512821
252,0.666667
253,0.205128
254,0.666667
255,0.205128
256,0.666667
257,0.205128
258,0.666667
259,0.205128
260,0.666667
261,0.205128
262,0.666667
263,0.205128
264,0.666667
265,0.205128
266,0.666667
267,0.0512821
268,0.666667
269,0.205128
270,0.666667
271,0.205128
272,0.666667
273,0.205128
274,0.666667
275,0.205128
276,0.666667
277,0.205128
278,0.666667
279,0.205128
280,0.666667
281,0.205128
282,0.666667
283,0.205128
284,0.666667
285,0.205128
286,0.666667
287,0.205128
288,0.666667
289,0.205128
290,0.666667
291,0.205128
292,0.666667
293,0.205128
294,0.666667
295,0.205128
296,0.666667
297,0.0512821
298,0.666667
299,0.205128
300,0.769231
301,0.25641
302,0.769231
303,0.25641
304,0.794872
305,0.25641
306,0.769231
307,0.230769
308,0.666667
309,0.230769
310,0.666667
311,0.230769
312,0.666667
313,0.230769
314,0.794872
315,0.25641
316,0.769231
317,0.230769
318,0.666667
319,0.230769
320,0.666667
321,0.230769
322,0.666667
323,0.230769
324,0.794872
325,0.230769
326,0.666667
327,0.230769
328,0.666667
329,0.230769
330,0.666667
331,0.230769
332,0.769231
333,0.25641
334,0.769231
335,0.25641
336,0.794872
337,0.230769
338,0.666667
339,0.230769
340,0.666667
341,0.230769
342,0.666667
343,0.230769
344,0.794872
345,0.25641
346,0.769231
347,0.230769
348,0.666667
349,0.230769
350,0.666667
351,0.230769
352,0.666667
353,0.230769
354,0.666667
355,0.230769
356,0.769231
357,0.25641
358,0.794872
359,0.230769
360,0.666667
361,0.230769
362,0.666667
363,0.230769
364,0.666667
365,0.230769
366,0.666667
367,0.230769
368,0.666667
369,0.230769
370,0.794872
371,0.230769
372,0.666667
373,0.230769
374,0.666667
375,0.230769
376,0.666667
377,0.230769
378,0.666667
379,0.230769
380,0.794872
381,0.25641
382,0.769231
383,0.230769
384,0.769231
385,0.25641
386,0.794872
387,0.230769
388,0.666667
389,0.230769
390,0.666667
391,0.230769
392,0.769231
393,0.25641
394,0.794872
395,0.230769
396,0.666667
397,0.230769
398,0.666667
399,0.230769
400,0.794872
401,0.25641
402,0.769231
403,0.230769
404,0.666667
405,0.230769
406,0.666667
407,0.230769
408,0.794872
409,0.230769
